customer_id,year_month,net_sales,avg_discount,category_count,loyalty,digital,sales_agent_id,active
C00002,2024-01-01,871.7,0.221725,3,1,0,A015,1
C00002,2024-02-01,888.72,0.20545,2,1,0,A015,1
C00002,2024-03-01,1417.08,0.1590166666666666,2,1,0,A015,1
C00002,2024-04-01,0.0,0.0,0,0,0,,0
C00002,2024-05-01,363.11,0.1643333333333333,2,1,0,A015,1
C00002,2024-06-01,1092.22,0.140625,3,1,0,A015,1
C00002,2024-07-01,1233.21,0.184225,2,1,0,A015,1
C00002,2024-08-01,2104.33,0.1863375,2,1,0,A015,1
C00006,2024-01-01,437.76,0.1926,1,0,0,A011,1
C00006,2024-02-01,351.39,0.16255,1,0,0,A011,1
C00006,2024-03-01,533.18,0.256025,2,0,0,A011,1
C00006,2024-04-01,0.0,0.0,0,0,0,,0
C00006,2024-05-01,0.0,0.0,0,0,0,,0
C00006,2024-06-01,673.86,0.241,2,0,0,A011,1
C00006,2024-07-01,0.0,0.0,0,0,0,,0
C00006,2024-08-01,603.35,0.2231599999999999,3,0,0,A011,1
C00007,2024-01-01,0.0,0.0,0,0,0,,0
C00007,2024-02-01,1375.71,0.2193375,2,0,0,A006,1
C00007,2024-03-01,910.01,0.201675,2,0,0,A006,1
C00007,2024-04-01,0.0,0.0,0,0,0,,0
C00007,2024-05-01,0.0,0.0,0,0,0,,0
C00007,2024-06-01,0.0,0.0,0,0,0,,0
C00007,2024-07-01,0.0,0.0,0,0,0,,0
C00007,2024-08-01,1312.81,0.25555,2,0,0,A006,1
C00009,2024-01-01,675.88,0.15982,2,1,0,A007,1
C00009,2024-02-01,38.51,0.1248,1,1,0,A007,1
C00009,2024-03-01,0.0,0.0,0,0,0,,0
C00009,2024-04-01,0.0,0.0,0,0,0,,0
C00009,2024-05-01,725.74,0.1943,2,1,0,A007,1
C00009,2024-06-01,0.0,0.0,0,0,0,,0
C00009,2024-07-01,994.97,0.14,3,1,0,A007,1
C00009,2024-08-01,0.0,0.0,0,0,0,,0
C00013,2024-01-01,0.0,0.0,0,0,0,,0
C00013,2024-02-01,0.0,0.0,0,0,0,,0
C00013,2024-03-01,996.36,0.232875,2,1,1,A006,1
C00013,2024-04-01,0.0,0.0,0,0,0,,0
C00013,2024-05-01,1526.27,0.1582571428571428,3,1,1,A006,1
C00013,2024-06-01,1310.01,0.1798285714285714,3,1,1,A006,1
C00013,2024-07-01,1022.65,0.207825,2,1,1,A006,1
C00013,2024-08-01,569.81,0.207275,2,1,1,A006,1
C00014,2024-01-01,0.0,0.0,0,0,0,,0
C00014,2024-02-01,704.1500000000001,0.200825,2,0,0,A005,1
C00014,2024-03-01,0.0,0.0,0,0,0,,0
C00014,2024-04-01,581.99,0.23285,2,0,0,A005,1
C00014,2024-05-01,0.0,0.0,0,0,0,,0
C00014,2024-06-01,398.37,0.2671,2,0,0,A005,1
C00014,2024-07-01,0.0,0.0,0,0,0,,0
C00014,2024-08-01,383.29,0.2404,1,0,0,A005,1
C00022,2024-01-01,0.0,0.0,0,0,0,,0
C00022,2024-02-01,0.0,0.0,0,0,0,,0
C00022,2024-03-01,664.8299999999999,0.1903,3,0,0,A007,1
C00022,2024-04-01,0.0,0.0,0,0,0,,0
C00022,2024-05-01,601.58,0.1807333333333333,2,0,0,A007,1
C00022,2024-06-01,1007.76,0.201,2,0,0,A007,1
C00022,2024-07-01,0.0,0.0,0,0,0,,0
C00022,2024-08-01,444.54,0.2276666666666666,2,0,0,A007,1
C00023,2024-01-01,258.48,0.1971,1,0,0,A007,1
C00023,2024-02-01,0.0,0.0,0,0,0,,0
C00023,2024-03-01,522.36,0.176975,2,0,0,A007,1
C00023,2024-04-01,0.0,0.0,0,0,0,,0
C00023,2024-05-01,0.0,0.0,0,0,0,,0
C00023,2024-06-01,479.82,0.2109,2,0,0,A007,1
C00023,2024-07-01,184.4,0.2541,1,0,0,A007,1
C00023,2024-08-01,0.0,0.0,0,0,0,,0
C00025,2024-01-01,0.0,0.0,0,0,0,,0
C00025,2024-02-01,360.07,0.154,1,1,1,A011,1
C00025,2024-03-01,482.02,0.2709499999999999,1,1,1,A011,1
C00025,2024-04-01,1003.58,0.227675,2,1,1,A011,1
C00025,2024-05-01,591.91,0.1835999999999999,1,1,1,A011,1
C00025,2024-06-01,1260.91,0.2057,3,1,1,A011,1
C00025,2024-07-01,0.0,0.0,0,0,0,,0
C00025,2024-08-01,349.32000000000005,0.23915,2,1,1,A011,1
C00031,2024-01-01,334.42,0.208575,3,0,1,A004,1
C00031,2024-02-01,0.0,0.0,0,0,0,,0
C00031,2024-03-01,0.0,0.0,0,0,0,,0
C00031,2024-04-01,275.95,0.2832,1,0,1,A004,1
C00031,2024-05-01,0.0,0.0,0,0,0,,0
C00031,2024-06-01,64.37,0.2114,1,0,1,A004,1
C00031,2024-07-01,0.0,0.0,0,0,0,,0
C00031,2024-08-01,377.69,0.237,2,0,1,A004,1
C00032,2024-01-01,411.05,0.2560333333333333,2,0,0,A005,1
C00032,2024-02-01,0.0,0.0,0,0,0,,0
C00032,2024-03-01,0.0,0.0,0,0,0,,0
C00032,2024-04-01,0.0,0.0,0,0,0,,0
C00032,2024-05-01,62.2,0.2026,1,0,0,A005,1
