customer_id,year_month,sales_agent_id,active,eligible_2m,dormancy_2m_confirmed,net_sales,avg_discount,category_count,loyalty,digital
C00002,2024-01-01,A015,1,True,0,871.7,0.221725,3,1,False
C00002,2024-02-01,A015,1,True,0,888.72,0.20545,2,1,False
C00002,2024-03-01,A015,1,True,0,1417.08,0.1590166666666666,2,1,False
C00002,2024-04-01,,0,True,0,0.0,0.0,0,0,0
C00006,2024-01-01,A011,1,True,0,437.76,0.1926,1,0,False
C00006,2024-02-01,A011,1,True,0,351.39,0.16255,1,0,False
C00006,2024-03-01,A011,1,True,1,533.18,0.256025,2,0,False
C00006,2024-04-01,,0,True,0,0.0,0.0,0,0,0
C00007,2024-01-01,,0,True,0,0.0,0.0,0,0,0
C00007,2024-02-01,A006,1,True,0,1375.71,0.2193375,2,0,False
C00007,2024-03-01,A006,1,True,1,910.01,0.201675,2,0,False
C00007,2024-04-01,,0,True,0,0.0,0.0,0,0,0
C00009,2024-01-01,A007,1,True,0,675.88,0.15982,2,1,False
C00009,2024-02-01,A007,1,True,1,38.51,0.1248,1,1,False
C00009,2024-03-01,,0,True,0,0.0,0.0,0,0,0
C00009,2024-04-01,,0,True,0,0.0,0.0,0,0,0
C00013,2024-01-01,,0,True,0,0.0,0.0,0,0,0
C00013,2024-02-01,,0,True,0,0.0,0.0,0,0,0
C00013,2024-03-01,A006,1,True,0,996.36,0.232875,2,1,True
C00013,2024-04-01,,0,True,0,0.0,0.0,0,0,0
C00014,2024-01-01,,0,True,0,0.0,0.0,0,0,0
C00014,2024-02-01,A005,1,True,0,704.1500000000001,0.200825,2,0,False
C00014,2024-03-01,,0,True,0,0.0,0.0,0,0,0
C00014,2024-04-01,A005,1,True,0,581.99,0.23285,2,0,False
C00022,2024-01-01,,0,True,0,0.0,0.0,0,0,0
C00022,2024-02-01,,0,True,0,0.0,0.0,0,0,0
C00022,2024-03-01,A007,1,True,0,664.8299999999999,0.1903,3,0,False
C00022,2024-04-01,,0,True,0,0.0,0.0,0,0,0
C00023,2024-01-01,A007,1,True,0,258.48,0.1971,1,0,False
C00023,2024-02-01,,0,True,0,0.0,0.0,0,0,0
C00023,2024-03-01,A007,1,True,1,522.36,0.176975,2,0,False
C00023,2024-04-01,,0,True,0,0.0,0.0,0,0,0
C00025,2024-01-01,,0,True,0,0.0,0.0,0,0,0
C00025,2024-02-01,A011,1,True,0,360.07,0.154,1,1,True
C00025,2024-03-01,A011,1,True,0,482.02,0.2709499999999999,1,1,True
C00025,2024-04-01,A011,1,True,0,1003.58,0.227675,2,1,True
C00031,2024-01-01,A004,1,True,1,334.42,0.208575,3,0,True
C00031,2024-02-01,,0,True,0,0.0,0.0,0,0,0
